,TITLE,YEAR,LINKS,RATING,DIRECTOR1,ACTOR_1,ACTOR_2
195,Klaus,2019,https://www.imdb.com//title/tt4729430/,8.1,Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons
196,Hacksaw Ridge,2016,https://www.imdb.com//title/tt2119532/,8.1,Mel Gibson (dir.), Andrew Garfield, Sam Worthington
197,Room,2015,https://www.imdb.com//title/tt3170832/,8.1,Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay
198,Det sjunde inseglet,1957,https://www.imdb.com//title/tt0050976/,8.1,Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand
199,Relatos salvajes,2014,https://www.imdb.com//title/tt3011894/,8.1,Damián Szifron (dir.), Darío Grandinetti, María Marull
200,The Big Lebowski,1998,https://www.imdb.com//title/tt0118715/,8.1,Joel Coen (dir.), Jeff Bridges, John Goodman
201,Mad Max: Fury Road,2015,https://www.imdb.com//title/tt1392190/,8.1,George Miller (dir.), Tom Hardy, Charlize Theron
202,How to Train Your Dragon,2010,https://www.imdb.com//title/tt0892769/,8.1,Dean DeBlois (dir.), Jay Baruchel, Gerard Butler
203,Mary and Max.,2009,https://www.imdb.com//title/tt0978762/,8.1,Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman
204,"Monsters, Inc.",2001,https://www.imdb.com//title/tt0198781/,8.1,Pete Docter (dir.), Billy Crystal, John Goodman
205,Jaws,1975,https://www.imdb.com//title/tt0073195/,8.1,Steven Spielberg (dir.), Roy Scheider, Robert Shaw
206,La passion de Jeanne d'Arc,1928,https://www.imdb.com//title/tt0019254/,8.1,Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain
207,Dead Poets Society,1989,https://www.imdb.com//title/tt0097165/,8.1,Peter Weir (dir.), Robin Williams, Robert Sean Leonard
208,Tôkyô monogatari,1953,https://www.imdb.com//title/tt0046438/,8.1,Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama
209,Hotel Rwanda,2004,https://www.imdb.com//title/tt0395169/,8.1,Terry George (dir.), Don Cheadle, Sophie Okonedo
210,Pather Panchali,1955,https://www.imdb.com//title/tt0048473/,8.0,Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee
211,Rocky,1976,https://www.imdb.com//title/tt0075148/,8.0,John G. Avildsen (dir.), Sylvester Stallone, Talia Shire
212,Platoon,1986,https://www.imdb.com//title/tt0091763/,8.0,Oliver Stone (dir.), Charlie Sheen, Tom Berenger
213,Ford v Ferrari,2019,https://www.imdb.com//title/tt1950186/,8.0,James Mangold (dir.), Matt Damon, Christian Bale
214,Stand by Me,1986,https://www.imdb.com//title/tt0092005/,8.0,Rob Reiner (dir.), Wil Wheaton, River Phoenix
215,The Terminator,1984,https://www.imdb.com//title/tt0088247/,8.0,James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton
216,Spotlight,2015,https://www.imdb.com//title/tt1895587/,8.0,Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton
217,Rush,2013,https://www.imdb.com//title/tt1979320/,8.0,Ron Howard (dir.), Daniel Brühl, Chris Hemsworth
218,Network,1976,https://www.imdb.com//title/tt0074958/,8.0,Sidney Lumet (dir.), Faye Dunaway, William Holden
219,Into the Wild,2007,https://www.imdb.com//title/tt0758758/,8.0,Sean Penn (dir.), Emile Hirsch, Vince Vaughn
220,Logan,2017,https://www.imdb.com//title/tt3315342/,8.0,James Mangold (dir.), Hugh Jackman, Patrick Stewart
221,The Wizard of Oz,1939,https://www.imdb.com//title/tt0032138/,8.0,Victor Fleming (dir.), Judy Garland, Frank Morgan
222,Ratatouille,2007,https://www.imdb.com//title/tt0382932/,8.0,Brad Bird (dir.), Brad Garrett, Lou Romano
223,Groundhog Day,1993,https://www.imdb.com//title/tt0107048/,8.0,Harold Ramis (dir.), Bill Murray, Andie MacDowell
224,Before Sunset,2004,https://www.imdb.com//title/tt0381681/,8.0,Richard Linklater (dir.), Ethan Hawke, Julie Delpy
225,The Exorcist,1973,https://www.imdb.com//title/tt0070047/,8.0,William Friedkin (dir.), Ellen Burstyn, Max von Sydow
226,The Best Years of Our Lives,1946,https://www.imdb.com//title/tt0036868/,8.0,William Wyler (dir.), Myrna Loy, Dana Andrews
227,The Incredibles,2004,https://www.imdb.com//title/tt0317705/,8.0,Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson
228,To Be or Not to Be,1942,https://www.imdb.com//title/tt0035446/,8.0,Ernst Lubitsch (dir.), Carole Lombard, Jack Benny
229,Rebecca,1940,https://www.imdb.com//title/tt0032976/,8.0,Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine
230,La battaglia di Algeri,1966,https://www.imdb.com//title/tt0058946/,8.0,Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin
231,The Grapes of Wrath,1940,https://www.imdb.com//title/tt0032551/,8.0,John Ford (dir.), Henry Fonda, Jane Darwell
232,Hachi: A Dog's Tale,2009,https://www.imdb.com//title/tt1028532/,8.0,Lasse Hallström (dir.), Richard Gere, Joan Allen
233,Cool Hand Luke,1967,https://www.imdb.com//title/tt0061512/,8.0,Stuart Rosenberg (dir.), Paul Newman, George Kennedy
234,Amores perros,2000,https://www.imdb.com//title/tt0245712/,8.0,Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal
235,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://www.imdb.com//title/tt0325980/,8.0,Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush
236,La haine,1995,https://www.imdb.com//title/tt0113247/,8.0,Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé
237,Les quatre cents coups,1959,https://www.imdb.com//title/tt0053198/,8.0,François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy
238,Persona,1966,https://www.imdb.com//title/tt0060827/,8.0,Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann
239,Babam ve Oglum,2005,https://www.imdb.com//title/tt0476735/,8.0,Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan
240,Life of Brian,1979,https://www.imdb.com//title/tt0079470/,8.0,Terry Jones (dir.), Graham Chapman, John Cleese
241,It Happened One Night,1934,https://www.imdb.com//title/tt0025316/,8.0,Frank Capra (dir.), Clark Gable, Claudette Colbert
242,The Sound of Music,1965,https://www.imdb.com//title/tt0059742/,8.0,Robert Wise (dir.), Julie Andrews, Christopher Plummer
243,Dersu Uzala,1975,https://www.imdb.com//title/tt0071411/,8.0,Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin
244,Ah-ga-ssi,2016,https://www.imdb.com//title/tt4016934/,8.0,Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo
245,Aladdin,1992,https://www.imdb.com//title/tt0103639/,8.0,Ron Clements (dir.), Scott Weinger, Robin Williams
246,Jai Bhim,2021,https://www.imdb.com//title/tt15097216/,8.0,T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose
247,Gandhi,1982,https://www.imdb.com//title/tt0083987/,8.0,Richard Attenborough (dir.), Ben Kingsley, John Gielgud
248,The Help,2011,https://www.imdb.com//title/tt1454029/,8.0,Tate Taylor (dir.), Emma Stone, Viola Davis
249,Beauty and the Beast,1991,https://www.imdb.com//title/tt0101414/,8.0,Gary Trousdale (dir.), Paige O'Hara, Robby Benson
