,TITLE,YEAR,LINKS,RATING,DIRECTOR1,ACTOR_1,ACTOR_2
96,M - Eine Stadt sucht einen Mörder,1931,https://www.imdb.com//title/tt0022100/,8.3,Fritz Lang (dir.), Peter Lorre, Ellen Widmann
97,North by Northwest,1959,https://www.imdb.com//title/tt0053125/,8.3,Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint
98,Vertigo,1958,https://www.imdb.com//title/tt0052357/,8.2,Alfred Hitchcock (dir.), James Stewart, Kim Novak
99,Le fabuleux destin d'Amélie Poulain,2001,https://www.imdb.com//title/tt0211915/,8.2,Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz
100,A Clockwork Orange,1971,https://www.imdb.com//title/tt0066921/,8.2,Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee
101,Idi i smotri,1985,https://www.imdb.com//title/tt0091251/,8.2,Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova
102,Full Metal Jacket,1987,https://www.imdb.com//title/tt0093058/,8.2,Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey
103,Double Indemnity,1944,https://www.imdb.com//title/tt0036775/,8.2,Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck
104,The Apartment,1960,https://www.imdb.com//title/tt0053604/,8.2,Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine
105,Scarface,1983,https://www.imdb.com//title/tt0086250/,8.2,Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer
106,Ikiru,1952,https://www.imdb.com//title/tt0044741/,8.2,Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko
107,The Sting,1973,https://www.imdb.com//title/tt0070735/,8.2,George Roy Hill (dir.), Paul Newman, Robert Redford
108,To Kill a Mockingbird,1962,https://www.imdb.com//title/tt0056592/,8.2,Robert Mulligan (dir.), Gregory Peck, John Megna
109,Taxi Driver,1976,https://www.imdb.com//title/tt0075314/,8.2,Martin Scorsese (dir.), Robert De Niro, Jodie Foster
110,Up,2009,https://www.imdb.com//title/tt1049413/,8.2,Pete Docter (dir.), Edward Asner, Jordan Nagai
111,L.A. Confidential,1997,https://www.imdb.com//title/tt0119488/,8.2,Curtis Hanson (dir.), Kevin Spacey, Russell Crowe
112,Heat,1995,https://www.imdb.com//title/tt0113277/,8.2,Michael Mann (dir.), Al Pacino, Robert De Niro
113,Metropolis,1927,https://www.imdb.com//title/tt0017136/,8.2,Fritz Lang (dir.), Brigitte Helm, Alfred Abel
114,Jodaeiye Nader az Simin,2011,https://www.imdb.com//title/tt1832382/,8.2,Asghar Farhadi (dir.), Payman Maadi, Leila Hatami
115,Die Hard,1988,https://www.imdb.com//title/tt0095016/,8.2,John McTiernan (dir.), Bruce Willis, Alan Rickman
116,Snatch,2000,https://www.imdb.com//title/tt0208092/,8.2,Guy Ritchie (dir.), Jason Statham, Brad Pitt
117,Hamilton,2020,https://www.imdb.com//title/tt8503618/,8.2,Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo
118,Incendies,2010,https://www.imdb.com//title/tt1255953/,8.2,Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin
119,Indiana Jones and the Last Crusade,1989,https://www.imdb.com//title/tt0097576/,8.2,Steven Spielberg (dir.), Harrison Ford, Sean Connery
120,Ladri di biciclette,1948,https://www.imdb.com//title/tt0040522/,8.2,Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola
121,1917,2019,https://www.imdb.com//title/tt8579674/,8.2,Sam Mendes (dir.), Dean-Charles Chapman, George MacKay
122,Taare Zameen Par,2007,https://www.imdb.com//title/tt0986264/,8.2,Aamir Khan (dir.), Darsheel Safary, Aamir Khan
123,Der Untergang,2004,https://www.imdb.com//title/tt0363163/,8.2,Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara
124,Per qualche dollaro in più,1965,https://www.imdb.com//title/tt0059578/,8.2,Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef
125,Batman Begins,2005,https://www.imdb.com//title/tt0372784/,8.2,Christopher Nolan (dir.), Christian Bale, Michael Caine
126,Spider-Man: No Way Home,2021,https://www.imdb.com//title/tt10872600/,8.2,Jon Watts (dir.), Tom Holland, Zendaya
127,Dangal,2016,https://www.imdb.com//title/tt5074352/,8.2,Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar
128,The Kid,1921,https://www.imdb.com//title/tt0012349/,8.2,Charles Chaplin (dir.), Charles Chaplin, Edna Purviance
129,Some Like It Hot,1959,https://www.imdb.com//title/tt0053291/,8.2,Billy Wilder (dir.), Marilyn Monroe, Tony Curtis
130,The Father,2020,https://www.imdb.com//title/tt10272386/,8.2,Florian Zeller (dir.), Anthony Hopkins, Olivia Colman
131,All About Eve,1950,https://www.imdb.com//title/tt0042192/,8.2,Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter
132,Green Book,2018,https://www.imdb.com//title/tt6966692/,8.2,Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali
133,The Wolf of Wall Street,2013,https://www.imdb.com//title/tt0993846/,8.2,Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill
134,Judgment at Nuremberg,1961,https://www.imdb.com//title/tt0055031/,8.2,Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster
135,Ran,1985,https://www.imdb.com//title/tt0089881/,8.2,Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao
136,Unforgiven,1992,https://www.imdb.com//title/tt0105695/,8.2,Clint Eastwood (dir.), Clint Eastwood, Gene Hackman
137,Casino,1995,https://www.imdb.com//title/tt0112641/,8.2,Martin Scorsese (dir.), Robert De Niro, Sharon Stone
138,Pan's Labyrinth,2006,https://www.imdb.com//title/tt0457430/,8.2,Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil
139,There Will Be Blood,2007,https://www.imdb.com//title/tt0469494/,8.2,Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano
140,The Sixth Sense,1999,https://www.imdb.com//title/tt0167404/,8.2,M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment
141,A Beautiful Mind,2001,https://www.imdb.com//title/tt0268978/,8.2,Ron Howard (dir.), Russell Crowe, Ed Harris
142,The Truman Show,1998,https://www.imdb.com//title/tt0120382/,8.2,Peter Weir (dir.), Jim Carrey, Ed Harris
143,Monty Python and the Holy Grail,1975,https://www.imdb.com//title/tt0071853/,8.2,Terry Gilliam (dir.), Graham Chapman, John Cleese
144,Yôjinbô,1961,https://www.imdb.com//title/tt0055630/,8.1,Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno
145,The Treasure of the Sierra Madre,1948,https://www.imdb.com//title/tt0040897/,8.1,John Huston (dir.), Humphrey Bogart, Walter Huston
146,Shutter Island,2010,https://www.imdb.com//title/tt1130884/,8.1,Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer
147,Rashômon,1950,https://www.imdb.com//title/tt0042876/,8.1,Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô
148,Jurassic Park,1993,https://www.imdb.com//title/tt0107290/,8.1,Steven Spielberg (dir.), Sam Neill, Laura Dern
